rooms,bedrooms,bathrooms,surface_total,surface_covered,price,property_type
4.0,3.0,1.0,126.0,86.0,270000.0,Casa
4.0,3.0,1.0,150.0,132.0,239000.0,Casa
4.0,3.0,2.0,153.0,90.0,180000.0,Casa
4.0,3.0,2.0,143.0,123.0,220000.0,Casa
4.0,3.0,1.0,129.0,89.0,240000.0,Casa
4.0,3.0,2.0,120.0,110.0,240000.0,Casa
2.0,1.0,1.0,110.0,90.0,250000.0,Casa
4.0,3.0,2.0,135.0,90.0,275000.0,Casa
3.0,2.0,2.0,140.0,85.0,349000.0,Casa
3.0,2.0,1.0,129.0,119.0,245000.0,Casa
4.0,3.0,1.0,135.0,135.0,350000.0,Casa
3.0,2.0,2.0,130.0,115.0,185000.0,Casa
3.0,2.0,2.0,136.0,115.0,230000.0,Casa
3.0,1.0,1.0,140.0,70.0,84000.0,Casa
4.0,3.0,1.0,145.0,110.0,170000.0,Casa
4.0,3.0,2.0,129.0,113.0,199500.0,Casa
3.0,2.0,1.0,111.0,72.0,243000.0,Casa
4.0,3.0,2.0,142.0,101.0,250000.0,Casa
3.0,2.0,1.0,135.0,120.0,265000.0,Casa
4.0,3.0,1.0,126.0,86.0,270000.0,Casa
3.0,2.0,1.0,120.0,91.0,130000.0,Casa
3.0,2.0,1.0,97.0,92.0,95000.0,Casa
4.0,3.0,2.0,140.0,116.0,200000.0,Casa
3.0,2.0,2.0,82.0,82.0,162000.0,Casa
4.0,2.0,1.0,115.0,85.0,330000.0,Casa
4.0,2.0,2.0,123.0,123.0,240000.0,Casa
3.0,2.0,1.0,48.0,41.0,108000.0,Casa
4.0,2.0,1.0,138.0,96.0,210000.0,Casa
3.0,2.0,1.0,121.0,62.0,155000.0,Casa
3.0,2.0,2.0,93.0,64.0,178000.0,Casa
3.0,2.0,1.0,134.0,120.0,248000.0,Casa
3.0,2.0,1.0,125.0,113.0,378000.0,Casa
3.0,2.0,1.0,95.0,62.0,220000.0,Casa
4.0,3.0,1.0,131.0,131.0,150000.0,Casa
4.0,3.0,2.0,119.0,119.0,205000.0,Casa
4.0,3.0,1.0,149.0,110.0,203000.0,Casa
4.0,3.0,1.0,104.0,79.0,239000.0,Casa
4.0,3.0,2.0,120.0,100.0,95000.0,Casa
2.0,1.0,1.0,26.0,26.0,59800.0,Casa
3.0,2.0,1.0,130.0,100.0,269900.0,Casa
3.0,2.0,1.0,112.0,112.0,250000.0,Casa
3.0,2.0,1.0,108.0,90.0,235000.0,Casa
3.0,2.0,2.0,100.0,85.0,180000.0,Casa
3.0,2.0,2.0,74.0,68.0,110000.0,Casa
4.0,3.0,1.0,122.0,87.0,169900.0,Casa
4.0,3.0,1.0,130.0,123.0,298000.0,Casa
4.0,3.0,2.0,145.0,130.0,389500.0,Casa
4.0,3.0,,141.0,81.0,298000.0,Casa
3.0,1.0,2.0,116.0,116.0,290000.0,Casa
3.0,2.0,1.0,112.0,112.0,260000.0,Casa
4.0,3.0,1.0,150.0,120.0,200000.0,Casa
4.0,3.0,1.0,120.0,95.0,125000.0,Casa
3.0,2.0,2.0,92.0,67.0,215000.0,Casa
4.0,3.0,1.0,131.0,131.0,240000.0,Casa
2.0,1.0,2.0,68.0,65.0,160000.0,Casa
3.0,2.0,1.0,117.0,66.0,183000.0,Casa
2.0,1.0,2.0,68.0,65.0,160000.0,Casa
4.0,3.0,2.0,106.0,75.0,190000.0,Casa
3.0,2.0,1.0,95.0,62.0,220000.0,Casa
4.0,3.0,2.0,136.0,105.0,210000.0,Casa
3.0,2.0,1.0,85.0,59.0,229000.0,Casa
4.0,3.0,2.0,130.0,105.0,330000.0,Casa
2.0,1.0,,56.0,56.0,237900.0,Casa
3.0,2.0,1.0,99.0,90.0,270000.0,Casa
3.0,2.0,2.0,150.0,100.0,160000.0,Casa
2.0,1.0,1.0,37.0,37.0,82000.0,Casa
2.0,1.0,1.0,37.0,37.0,82000.0,Casa
3.0,2.0,1.0,71.0,68.0,174000.0,Casa
2.0,1.0,2.0,68.0,65.0,160000.0,Casa
2.0,1.0,2.0,68.0,65.0,160000.0,Casa
4.0,2.0,1.0,95.0,75.0,135000.0,Casa
2.0,1.0,1.0,80.0,80.0,125000.0,Casa
3.0,2.0,1.0,114.0,49.0,197000.0,Casa
3.0,2.0,1.0,116.0,78.0,75000.0,Casa
3.0,2.0,1.0,139.0,90.0,215000.0,Casa
4.0,3.0,2.0,100.0,100.0,235000.0,Casa
3.0,2.0,1.0,68.0,62.0,135000.0,Casa
3.0,2.0,1.0,110.0,68.0,155000.0,Casa
4.0,3.0,2.0,134.0,80.0,185000.0,Casa
2.0,1.0,1.0,80.0,80.0,125000.0,Casa
2.0,1.0,1.0,151.0,108.0,300000.0,Casa
2.0,1.0,2.0,80.0,62.0,118000.0,Casa
3.0,2.0,,130.0,65.0,215000.0,Casa
3.0,2.0,1.0,148.0,112.0,170000.0,Casa
4.0,2.0,2.0,150.0,90.0,150000.0,Casa
3.0,2.0,2.0,150.0,127.0,250000.0,Casa
3.0,2.0,1.0,150.0,64.0,150000.0,Casa
2.0,1.0,1.0,44.0,42.0,129000.0,Casa
4.0,3.0,2.0,105.0,74.0,250000.0,Casa
4.0,3.0,1.0,130.0,130.0,230000.0,Casa
4.0,3.0,1.0,123.0,90.0,119000.0,Casa
